,Produto,Categoria,Valor,Descricao,Marca,Termo
10,Ladela Bellies,Footwear,"R$:1724,00",Key Features of Ladela Bellies Brand: LADELA Color : Black;Ladela Bellies Price: Rs. 950 Experience the best bellies from the house of Ladela. Providing the best material to keep your feet cozy and active for the whole day.;Specifications of Ladela Bellies General Occasion Casual Ideal For Women Shoe Details Heel Height 0 inch Outer Material PU Color Black,Ladela,Footwear: Calçados
11,Carrel Printed Women's,Clothing,"R$:2299,00",Key Features of Carrel Printed Women's Fabric: SwimLycra Brand Color: Black; White;Carrel Printed Women's Price: Rs. 910 Max-coverage swimwear collection from CARREL BRAND; Brighten up your swim routine with this best fitting. This swimming costume from the house of Carrel is made of imported swim lycra fabric and comes in Black & White Colour. It has to be washed separately and dry in shade. Attractive & classy caressing the water. This swimwear provides excellent protection and Chlorine resistance. fast drying combined with flatlock stitching gives an unmatched comfort and helps you to that performance you have been striving for. This swimwear with its comfort and style is your perfect companion at any pool; beach or water activity. Time for you to do your own thing and Go With The Flow. This Swimwear Lightly padded; for modesty and support. This Product Support To This Size : L; XL; XXL; 3XL;4XL.;Specifications of Carrel Printed Women's Top Details Neck Round Neck Swimsuit Details Fabric SwimLycra Type Swim-dress General Details Pattern Printed Ideal For Women's Occasion Sports Fabric Care Wash with Similar Colors; Use Detergent for Colors In the Box 1 Swimware,Carrel,Clothing: Confecções
12,Sicons All Purpose Tea Tree Dog Shampoo,Pet Supplies,R$:nan,Specifications of Sicons All Purpose Tea Tree Dog Shampoo (200 ml) General Pet Type Dog Brand Sicons Quantity 200 ml Model Number SH.DF-07 Type All Purpose Fragrance Tea Tree Form Factor Spray In the Box Sales Package Shampoo Sicons Dog Fashion Dry Bath Urban Pet,Sicons,Pet Supplies: Suprimentos para animais de estimação
13,Alisha Solid Women's Cycling Shorts,Clothing,"R$:999,00",Key Features of Alisha Solid Women's Cycling Shorts Cotton Lycra Black; White; Black;Specifications of Alisha Solid Women's Cycling Shorts Shorts Details Number of Contents in Sales Package Pack of 3 Fabric Cotton Lycra Type Cycling Shorts General Details Pattern Solid Ideal For Women's Fabric Care Gentle Machine Wash in Lukewarm Water; Do Not Bleach Additional Details Style Code ALTHT_3P_17 In the Box 3 shorts,Alisha,Clothing: Confecções
14,Freelance Vacuum Bottles 350 ml Bottle,Pens & Stationery,"R$:699,00",Specifications of Freelance Vacuum Bottles 350 ml Bottle (Pack of 1; Green) General Body Material Stainless steel Type Bottle In the Box Number of Contents in Sales Package Pack of 1 Sales Package 1 pcs in one packet,Freelance,Pens & Stationery: Canetas e artigos de papelaria
15,Alisha Solid Women's Cycling Shorts,Clothing,"R$:999,00",Key Features of Alisha Solid Women's Cycling Shorts Cotton Lycra Black; White; White;Specifications of Alisha Solid Women's Cycling Shorts Shorts Details Number of Contents in Sales Package Pack of 3 Fabric Cotton Lycra Type Cycling Shorts General Details Pattern Solid Ideal For Women's Fabric Care Gentle Machine Wash in Lukewarm Water; Do Not Bleach Additional Details Style Code ALTHT_3P_2 In the Box 3 shorts,Alisha,Clothing: Confecções
16,FabHomeDecor Fabric Double Sofa Bed,Furniture,"R$:32157,00",FabHomeDecor Fabric Double Sofa Bed (Finish Color - Purple Mechanism Type - Pull Out) Price: Rs. 22;646 • Fine deep seating experience • Save Space with the all new click clack Sofa Bed • Easy to fold and vice versa with simple click clack mechanism • Chrome legs with mango wood frame for long term durability • Double cushioned Sofa Bed to provide you with extra softness to make a fine seating experience • A double bed that can easily sleep two;Specifications of FabHomeDecor Fabric Double Sofa Bed (Finish Color - Purple Mechanism Type - Pull Out) Installation & Demo Installation & Demo Details Installation and demo for this product is done free of cost as part of this purchase. Our service partner will visit your location within 72 business hours from the delivery of the product. In The Box 1 Sofa Bed General Brand FabHomeDecor Mattress Included No Delivery Condition Knock Down Storage Included No Mechanism Type Pull Out Type Sofa Bed Style Contemporary & Modern Filling Material Microfiber Seating Capacity 3 Seater Upholstery Type NA Upholstery Included No Bed Size Double Shape Square Suitable For Living Room Model Number FHD132 Care Instructions Avoid outdoor use and exposure to water or prolonged moisture; Avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade; Keep sharp objects away from your sofa; A little tear on the fabric cover may be hard to repair; Vacuum your sofas periodically with a soft bristled bru...View More Avoid outdoor use and exposure to water or prolonged moisture; Avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade; Keep sharp objects away from your sofa; A little tear on the fabric cover may be hard to repair; Vacuum your sofas periodically with a soft bristled brush attachment or lightly brush them to keep general dirt and dust off the sofa and prevent any embedding between the fibres; Try to avoid food and drink spillage of any kind; If spills occur; do not leave unattended; In case of a stain; a water-free fabric cleaner can be used; However; avoid applying the cleaner directly on the stain as this can cause damage to the fabric and fade colour; Pour the cleaner onto a clean cloth and test its effect on a hidden area of the sofa before cleaning the stain with the cloth; A professional scotchguard treatment is one of the easiest and most effective options to protect against spills or stains and keep pet hair at bay; Getting your sofa professionally cleaned once every 6-8 months will not only take care of the nooks and corners that you can't reach; it will also make it more durable Finish Type Matte Important Note Cancellation NOT allowed for this product after 24 hrs of order booking. Warranty Covered in Warranty Warranty covers all kind of manufacturing defects. Concerned product will either be repaired or replaced based on discretion. Service Type Manufacturer Warranty Warranty Summary 6 Months Domestic Warranty Not Covered in Warranty Warranty does not cover for Improper Handling Dimensions Weight 40 kg Height 838 mm Width 1905 mm Depth 939 mm Disclaimer - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting; pixel quality and color settings - Please check the product's dimensions to ensure the product will fit in the desired location. Also; check if the product will fit through...View More - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting; pixel quality and color settings - Please check the product's dimensions to ensure the product will fit in the desired location. Also; check if the product will fit through the entrance(s) and door(s) of the premises - Please expect an unevenness of up to 5 mm in the product due to differences in surfaces and floor levels - Flipkart; or the Seller delivering the product; will not take up any type of civil work; such as drilling holes in the wall to mount the product. The product will only be assembled in case carpentry assembly is required - In case the product appears to lack shine; wiping the surface with a cloth will help clear the surface of dust particles Material & Color Upholstery Color Purple Primary Color Purple Primary Material Fabric Secondary Material Subtype Mango Wood Secondary Material Foam Finish Color Purple Primary Material Subtype Foam,FabHomeDecor,Furniture: Mobiliário
17,Style Foot Bellies,Footwear,"R$:899,00",Key Features of Style Foot Bellies ballerina shoes ballerina flats;Style Foot Bellies Price: Rs. 449 ballet shoes that fits perfectly for casual and party wear;Specifications of Style Foot Bellies General Occasion Casual Ideal For Women Shoe Details Heel Height 1 inch Outer Material PU Color Black In the Box 1 slipper,Style Foot,Footwear: Calçados
18,Carrel Printed Women's,Clothing,"R$:2499,00",Key Features of Carrel Printed Women's Fabric: SwimLycra Brand Color: DARK BLUE; WHITE;Carrel Printed Women's Price: Rs. 999 Max-coverage swimwear collection from CARREL BRAND; Brighten up your swim routine with this best fitting. This swimming costume from the house of Carrel is made of imported swim lycra fabric and comes in Darkblue & White Colour. It has to be washed separately and dry in shade. Attractive & classy caressing the water. This swimwear provides excellent protection and Chlorine resistance. fast drying combined with flatlock stitching gives an unmatched comfort and helps you to that performance you have been striving for. This swimwear with its comfort and style is your perfect companion at any pool; beach or water activity. Time for you to do your own thing and Go With The Flow. This Swimwear Lightly padded; for modesty and support. This Product Support To This Size : L; XL; XXL; 3XL;4XL.;Specifications of Carrel Printed Women's Top Details Neck Round Neck Swimsuit Details Fabric SwimLycra Type Swim-dress General Details Pattern Printed Ideal For Women's Occasion Sports Fabric Care Wash with Similar Colors; Use Detergent for Colors In the Box 1 Swimware,Carrel,Clothing: Confecções
19,FabHomeDecor Fabric Double Sofa Bed,Furniture,"R$:32157,00",FabHomeDecor Fabric Double Sofa Bed (Finish Color - Dark Brown Mechanism Type - Pull Out) Price: Rs. 22;646 • Fine deep seating experience • Save Space with the all new click clack Sofa Bed • Easy to fold and vice versa with simple click clack mechanism • Chrome legs with mango wood frame for long term durability • Double cushioned Sofa Bed to provide you with extra softness to make a fine seating experience • A double bed that can easily sleep two;Specifications of FabHomeDecor Fabric Double Sofa Bed (Finish Color - Dark Brown Mechanism Type - Pull Out) In The Box 1 Sofa Bed Installation & Demo Installation & Demo Details Installation and demo for this product is done free of cost as part of this purchase. Our service partner will visit your location within 72 business hours from the delivery of the product. Important Note Cancellation NOT allowed for this product after 24 hrs of order booking. General Brand FabHomeDecor Mattress Included No Delivery Condition Knock Down Storage Included No Mechanism Type Pull Out Type Sofa Bed Style Contemporary & Modern Filling Material Microfiber Seating Capacity 3 Seater Upholstery Type NA Upholstery Included No Bed Size Double Shape Square Suitable For Living Room Model Number FHD115 Finish Type Matte Care Instructions Avoid outdoor use and exposure to water or prolonged moisture; Avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade; Keep sharp objects away from your sofa; A little tear on the fabric cover may be hard to repair; Vacuum your sofas periodically with a soft bristled bru...View More Avoid outdoor use and exposure to water or prolonged moisture; Avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade; Keep sharp objects away from your sofa; A little tear on the fabric cover may be hard to repair; Vacuum your sofas periodically with a soft bristled brush attachment or lightly brush them to keep general dirt and dust off the sofa and prevent any embedding between the fibres; Try to avoid food and drink spillage of any kind; If spills occur; do not leave unattended; In case of a stain; a water-free fabric cleaner can be used; However; avoid applying the cleaner directly on the stain as this can cause damage to the fabric and fade colour; Pour the cleaner onto a clean cloth and test its effect on a hidden area of the sofa before cleaning the stain with the cloth; A professional scotchguard treatment is one of the easiest and most effective options to protect against spills or stains and keep pet hair at bay; Getting your sofa professionally cleaned once every 6-8 months will not only take care of the nooks and corners that you can't reach; it will also make it more durable Dimensions Weight 40 kg Height 838.2 mm Width 1905 mm Depth 939.8 mm Warranty Covered in Warranty Warranty covers all kind of manufacturing defects. Concerned product will either be repaired or replaced based on discretion. Warranty Summary 6 Months Domestic Warranty Service Type Manufacturer Warranty Not Covered in Warranty Warranty does not cover for Improper Handling Disclaimer - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting; pixel quality and color settings - Please check the product's dimensions to ensure the product will fit in the desired location. Also; check if the product will fit through...View More - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting; pixel quality and color settings - Please check the product's dimensions to ensure the product will fit in the desired location. Also; check if the product will fit through the entrance(s) and door(s) of the premises - Please expect an unevenness of up to 5 mm in the product due to differences in surfaces and floor levels - Flipkart; or the Seller delivering the product; will not take up any type of civil work; such as drilling holes in the wall to mount the product. The product will only be assembled in case carpentry assembly is required - In case the product appears to lack shine; wiping the surface with a cloth will help clear the surface of dust particles Material & Color Primary Material Fabric Primary Color Brown Upholstery Color Dark Brown Secondary Material Foam Secondary Material Subtype Mango Wood Finish Color Dark Brown Primary Material Subtype Foam,FabHomeDecor,Furniture: Mobiliário
20,Sicons Conditioning Conditoner Dog Shampoo,Pet Supplies,"R$:110,00",Specifications of Sicons Conditioning Conditoner Dog Shampoo (200 ml) General Pet Type Dog Brand Sicons Quantity 200 ml Model Number SH.DF-02 Type Conditioning Fragrance Conditoner Form Factor Gel In the Box Sales Package Shampoo Sicons Dog Fashion Conditioner Aloe Rinse,Sicons,Pet Supplies: Suprimentos para animais de estimação
21,Alisha Solid Women's Cycling Shorts,Clothing,R$:nan,Alisha Solid Women's Cycling Shorts - Buy Black; White; Navy Alisha Solid Women's Cycling Shorts For Only Rs. 999 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,Alisha,Clothing: Confecções
22,dongli Printed Boy's Round Neck T-Shirt,Clothing,"R$:2400,00",Specifications of dongli Printed Boy's Round Neck T-Shirt (Pack of 4) T-shirt Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 4 Fabric Cotton Type Round Neck Fit Regular General Details Pattern Printed Occasion Casual Ideal For Boy's In the Box 4 T Shirt Additional Details Style Code DLHBB445_BEIGE_BLACK_GYELLOW_PURPLE Fabric Care Wash with Similar Colors; Use Detergent for Colors,dongli,Clothing: Confecções
23,SWAGGA Women Clogs,Footwear,"R$:1500,00",Key Features of SWAGGA Women Clogs Occasion: Ethnic Material: Leather Color: Brown; White Heel Height: 0;Specifications of SWAGGA Women Clogs General Occasion Ethnic Ideal For Women Sandal Details Type Clogs Heel Height 0 inch Outer Material Leather Color Brown; White13,SWAGGA,Footwear: Calçados
24,Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,Pet Supplies,"R$:190,00",Buy Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog for Rs.190 online. Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,Kennel,Pet Supplies: Suprimentos para animais de estimação
25,Glus Wedding Lingerie Set,Clothing,"R$:1299,00",Glus Wedding Lingerie Set - Buy Turquoise Glus Wedding Lingerie Set For Only Rs. 1299 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,,Clothing: Confecções
26,Veelys Shiny White Quad Roller Skates - Size 4.5 UK,Sports & Fitness,"R$:3199,00",Veelys Shiny White Quad Roller Skates - Size 4.5 UK only for Rs 2499 . Ideal For Boys . Buy online @ Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,,Sports & Fitness: Esportes e fitness
27,Bulaky vanity case Jewellery Vanity Case,Beauty and Personal Care,"R$:499,00",Buy Bulaky vanity case Jewellery Vanity Case for Rs.390 online. Bulaky vanity case Jewellery Vanity Case at best prices with FREE shipping & cash on delivery. Only Genuine Products. 30 Day Replacement Guarantee.,,Beauty and Personal Care: Beleza e Cuidados Pessoais
28,FDT Women's Leggings,Clothing,"R$:699,00",FDT Women's Leggings - Buy Parrot Green FDT Women's Leggings For Only Rs. 699 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,,Clothing: Confecções
29,Madcaps C38GR30 Men's Cargos,Clothing,"R$:2199,00",Madcaps C38GR30 Men's Cargos - Buy Green Madcaps C38GR30 Men's Cargos For Only Rs. 2199 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,,Clothing: Confecções
30,Bengal Blooms Rose Artificial Plant  with Pot,Bengal Blooms,"R$:799,00",Key Features of Bengal Blooms Rose Artificial Plant  with Pot Assorted Height: 30 cm;Bengal Blooms Rose Artificial Plant  with Pot (30 cm; Multicolor) Price: Rs. 579 The Bengal Blooms Decor your home with artificial flowers attached to a wonderful pot.;Specifications of Bengal Blooms Rose Artificial Plant  with Pot (30 cm; Multicolor) General Brand Bengal Blooms Model Number BBAJC218 Type Assorted Bonsai No Model Name Rose Color Multicolor Pot Features Pot Included Yes Dimensions Total Height 30 cm In the Box Sales Package 1 Assorted Artificial plant with Pot,Bengal Blooms,Bengal Blooms: Flores de Bengala
31,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,Clothing,"R$:999,00","Key Features of Indcrown Net Embroidered Semi-stitched Lehenga Choli Material Ghagra Choli ; Ghagra; Choli; Dupatta Set ; Lehenga Choli ; Lehenga; Choli and Dupatta Set .;Indcrown Net Embroidered Semi-stitched Lehenga Choli Material (Semi-stitched) Price: Rs. 699 We have not authorised any other seller to sell our brand Indcrown . Any seller doing so is selling fake Indcrown Products. Buy original Indcrown products from the seller "" indcrown‘’ only;Specifications of Indcrown Net Embroidered Semi-stitched Lehenga Choli Material (Semi-stitched) Fabric Details Fabric Net Type Semi-stitched Lehenga Choli Material General Details Pattern Embroidered Ideal For Women's Color Multicolor Fabric Care Dry clean or else Normal Hand Wash Additional Details Other Details Lehnga Choli is an Indian traditional ware also known as Chaniya Choli. We at Bolly Lounge offers you to attract compliments by this attractive Lehnga Choli made with fine quality material and beautiful work which can be worn for functions; festivals; parties and even office also. This Lehnga Choli ...View More Lehnga Choli is an Indian traditional ware also known as Chaniya Choli. We at Bolly Lounge offers you to attract compliments by this attractive Lehnga Choli made with fine quality material and beautiful work which can be worn for functions; festivals; parties and even office also. This Lehnga Choli is comes with unstitched material so it can be stitched according to your taste and preference. Stunning Self Designed Partywear Salwar Suit Gives A Trendy Look. Suit Having Fine Embroidery Work Over All. A Fine Fabric Used To Make It; It Will Be Comfortable In All Season. Style Code R C Lehe Bt In the Box 1 Lehenga Choli And Duppta Set",Indcrown,Clothing: Confecções
32,Shopmania Music Band A5 Notebook Spiral Bound,Pens & Stationery,"R$:499,00",Specifications of Shopmania Music Band A5 Notebook Spiral Bound (Multicolor) General Ruling Ruled Model id NB00664 Type Notebook GSM 75 Cover Type 300 GSM Hard Laminated Cover No. of Pages 160 Brand Name Shopmania Binding Spiral Bound Color Multicolor Size A5 Dimensions Length 9 inch Width 6 inch Special Features Can be used as Notepad; Diary; Writing pad In the Box Sales Package 1 Notebook,Shopmania,Pens & Stationery: Canetas e artigos de papelaria
